id,parent,type,subtype,name,code,description,building,floor_number,area_m2,is_common,is_leasable
,,project,,Downtown,dt,,,,,,
,dt,site,office_complex,Участок Manhattan,s1973,Kad 21318081973,,,,,
,dt,site,office_complex,Участок Boston,s1972,Kad 21318081972,,,,,
,dt,site,office_complex,Участок Dubai,s1974,Kad 21318081974,,,,,
,dt,site,office_complex,Участок Geneva,s1975,Kad 21318081975,,,,,
,dt,site,office_complex,Участок Tokyo,s1976,Kad 21318081976,,,,,
,s1973,building,office_building,Manhattan,man,,,,,,
,s1972,building,office_building,Boston,bos,,,,,,
,s1974,building,office_building,Dubai,dub,,,,,,
,s1975,building,office_building,Geneva,gen,,,,,,
,s1976,building,office_building,Tokyo,tok,,,,,,
,man,floor,ground,1 Этаж,man-f1,,man,1,561.22,,
,man,floor,standard,2 Этаж,man-f2,,man,2,583.28,,
,man,floor,standard,3 Этаж,man-f3,,man,3,581.82,,
,man,floor,standard,4 Этаж,man-f4,,man,4,655.76,,
,man,floor,technical,5 Этаж,man-f5,,man,5,56.93,,
,man,floor,operated,Крыша,man-f6,,man,6,,,
,man-f1,stairwell,regular,Лестничная клетка 1,man-f1-sw1,,man,1,,,
,man-f1,stairwell,regular,Лестничная клетка 2,man-f1-sw2,,man,1,,,
,man-f1,shaft,elevator,Лифтовая шахта,man-f1-sl1,,man,1,,,
,man-f1,room,vestibule,Входной Тамбур,man-f1-ev,entrance vestibule,man,1,,TRUE,FALSE
,man-f1,room,lobby,Лобби,man-f1-lb,lobby,man,1,,TRUE,FALSE
,man-f1,room,office,каб101вход,man-f1-a,,man,1,6.55,FALSE,TRUE
,man-f1-a,room,office,каб101,man-f1-a1,,man,1,20.49,FALSE,TRUE
,man-f1-a,room,office,каб101вправо,man-f1-a2,,man,1,9.6,FALSE,TRUE
,man-f1,room,office,каб102,man-f1-b,,man,1,61.71,FALSE,TRUE
,man-f1,room,office,каб у туалета 1,man-f1-c,,man,1,,FALSE,FALSE
,man-f1,room,office,каб у туалета 2,man-f1-d,,man,1,,FALSE,FALSE
,man-f1,room,office,каб у туалета 3,man-f1-e,,man,1,,FALSE,FALSE
,man-f1,room,office,каб105,man-f1-f,,man,1,37.86,FALSE,TRUE
,man-f1,room,office,каб104,man-f1-g,,man,1,36.03,FALSE,TRUE
,man-f1,room,tech_combined,Тепловой пункт,man-f1-h,,man,1,,FALSE,FALSE
,man-f1,room,office,каб103,man-f1-i,,man,1,28.05,FALSE,TRUE
,man-f1-g,room,office,каб103 (каморка 1),man-f1-i1,,man,1,15.78,FALSE,TRUE
,man-f1-g,room,office,каб103 (каморка 2),man-f1-i2,,man,1,2.12,FALSE,TRUE
,man-f1,room,restroom,УборнаяЖен 1эт,man-f1-rr-f,,man,1,,TRUE,FALSE
,man-f1-rr-f,room,restroom,ТуалетЖен1 1эт,man-f1-rr-f-t1,,man,1,,TRUE,FALSE
,man-f1-rr-f,room,restroom,ТуалетЖен2 1эт,man-f1-rr-f-t2,,man,1,,TRUE,FALSE
,man-f1,room,restroom,УборнаяМуж 1эт,man-f1-rr-m,,man,1,,TRUE,FALSE
,man-f1-rr-m,room,restroom,ТуалетМуж1 1эт,man-f1-rr-m-t1,,man,1,,TRUE,FALSE
,man-f1-rr-m,room,restroom,ТуалетМуж2 1эт,man-f1-rr-m-t2,,man,1,,TRUE,FALSE
,man-f2,void,second_light,Второй свет 2эт,man-f2-void,,man,2,,,
,man-f2,room,corridor,Коридоры 2эт,man-f2-cor,,man,2,,TRUE,FALSE
,man-f2,room,office,Каб204,man-f2-a,,man,2,41.17,FALSE,TRUE
,man-f2-a,room,office,Каб204 (каморка),man-f2-a1,,man,2,5.94,FALSE,TRUE
,man-f2,room,office,Каб203,man-f2-b,,man,2,45.37,FALSE,TRUE
,man-f2,room,office,Каб202,man-f2-c,,man,2,66.43,FALSE,TRUE
,man-f2-c,room,office,Каб202 (каморка),man-f2-c1,,man,2,38.69,FALSE,TRUE
,man-f2,room,office,Каб201,man-f2-d,,man,2,41.83,FALSE,TRUE
,man-f2,room,office,Каб208,man-f2-e,,man,2,51.5,FALSE,TRUE
,man-f2-e,room,office,Каб208 (каморка 1),man-f2-e1,,man,2,8.66,FALSE,TRUE
,man-f2-e,room,office,Каб208 (каморка 2),man-f2-e2,,man,2,3.26,FALSE,TRUE
,man-f2,room,office,Каб206,man-f2-f,,man,2,37.6,FALSE,TRUE
,man-f2-f,room,office,Каб207,man-f2-f1,,man,2,57.26,FALSE,TRUE
,man-f2,room,office,Каб205,man-f2-g,,man,2,47.22,FALSE,TRUE
,man-f2,room,office,Тех помещение у туалета 2эт,man-f2-h,,man,2,,FALSE,FALSE
,man-f2,room,restroom,УборнаяЖен 2эт,man-f2-rr-f,,man,2,,TRUE,FALSE
,man-f2-rr-f,room,restroom,ТуалетЖен1 2эт,man-f2-rr-f-t1,,man,2,,TRUE,FALSE
,man-f2-rr-f,room,restroom,ТуалетЖен2 2эт,man-f2-rr-f-t2,,man,2,,TRUE,FALSE
,man-f2,room,restroom,УборнаяМуж 2эт,man-f2-rr-m,,man,2,,TRUE,FALSE
,man-f2-rr-m,room,restroom,ТуалетМуж1 2эт,man-f2-rr-m-t1,,man,2,,TRUE,FALSE
,man-f2-rr-m,room,restroom,ТуалетМуж2 2эт,man-f2-rr-m-t2,,man,2,,TRUE,FALSE
,man-f3,void,second_light,Второй свет 3эт,man-f3-void,,man,3,,,
,man-f3,room,corridor,Корридоры 3эт,man-f3-cor,,man,3,,TRUE,FALSE
,man-f3,room,office,Каб304,man-f3-a,,man,3,47.52,FALSE,TRUE
,man-f3,room,office,Каб303,man-f3-b,,man,3,45.37,FALSE,TRUE
,man-f3,room,office,Каб302,man-f3-c,,man,3,47.19,FALSE,TRUE
,man-f3-c,room,office,Каб302 (каморка 1),man-f3-c1,,man,3,24.71,FALSE,TRUE
,man-f3-c,room,office,Каб302 (каморка 2),man-f3-c2,,man,3,17.39,FALSE,TRUE
,man-f3-c,room,office,Каб302 (каморка 3),man-f3-c3,,man,3,14.26,FALSE,TRUE
,man-f3,room,office,Каб301,man-f3-d,,man,3,41.02,FALSE,TRUE
,man-f3,room,office,Каб308,man-f3-e,,man,3,14.62,FALSE,TRUE
,man-f3-e,room,office,Каб308 (каморка 1),man-f3-e1,,man,3,26.22,FALSE,TRUE
,man-f3-e,room,office,Каб308 (каморка 2),man-f3-e2,,man,3,22.63,FALSE,TRUE
,man-f3,room,office,Каб306,man-f3-f,,man,3,37.6,FALSE,TRUE
,man-f3-f,room,office,Каб306 (каморка),man-f3-f1,,man,3,57.26,FALSE,TRUE
,man-f3,room,office,Каб305,man-f3-g,,man,3,47.22,FALSE,TRUE
,man-f3,room,office,Каморка у туалета,man-f3-h,,man,3,1.05,FALSE,FALSE
,man-f3,room,restroom,УборнаяЖен 3эт,man-f3-rr-f,,man,3,,TRUE,FALSE
,man-f3-rr-f,room,restroom,ТуалетЖен1 3эт,man-f3-rr-f-t1,,man,3,,TRUE,FALSE
,man-f3-rr-f,room,restroom,ТуалетЖен2 3эт,man-f3-rr-f-t2,,man,3,,TRUE,FALSE
,man-f3,room,restroom,УборнаяМуж 3эт,man-f3-rr-m,,man,3,,TRUE,FALSE
,man-f3-rr-m,room,restroom,ТуалетМуж1 3эт,man-f3-rr-m-t1,,man,3,,TRUE,FALSE
,man-f3-rr-m,room,restroom,ТуалетМуж2 3эт,man-f3-rr-m-t2,,man,3,,TRUE,FALSE
,man-f4,room,corridor,Корридоры 4эт,man-f4-cor,,man,4,,TRUE,FALSE
,man-f4,room,office,Каб405,man-f4-a,,man,4,39.57,FALSE,TRUE
,man-f4,room,office,Каб404,man-f4-b,,man,4,41.86,FALSE,TRUE
,man-f4,room,office,Каб403,man-f4-c,,man,4,43.55,FALSE,TRUE
,man-f4,room,office,Каб402,man-f4-d,,man,4,37.7,FALSE,TRUE
,man-f4,room,office,Каб401,man-f4-e,,man,4,30.9,FALSE,TRUE
,man-f4,room,office,Комната отдыха 4 эт,man-f4-f,,man,4,34.23,FALSE,TRUE
,man-f4-f,room,office,Комната отдыха (каморка) 4 эт,man-f4-f1,,man,4,9.13,FALSE,TRUE
,man-f4,room,office,Каб406,man-f4-g,,man,4,36.38,FALSE,TRUE
,man-f4-g,room,office,Каб408,man-f4-g1,,man,4,53.92,FALSE,TRUE
,man-f4-g,room,office,Каб407,man-f4-g2,,man,4,45.71,FALSE,TRUE
,man-f4,room,office,Каморка у лестницы,man-f4-h,,man,4,7.42,FALSE,FALSE
,man-f4,room,office,Каморка у туалета,man-f4-i,,man,4,,FALSE,FALSE
,man-f4,room,restroom,УборнаяЖен 4эт,man-f4-rr-f,,man,4,,TRUE,FALSE
,man-f4-rr-f,room,restroom,ТуалетЖен1 4эт,man-f4-rr-f-t1,,man,4,,TRUE,FALSE
,man-f4-rr-f,room,restroom,ТуалетЖен2 4эт,man-f4-rr-f-t2,,man,4,,TRUE,FALSE
,man-f4,room,restroom,УборнаяМуж 4эт,man-f4-rr-m,,man,4,,TRUE,FALSE
,man-f4-rr-m,room,restroom,ТуалетМуж1 4эт,man-f4-rr-m-t1,,man,4,,TRUE,FALSE
,man-f4-rr-m,room,restroom,ТуалетМуж2 4эт,man-f4-rr-m-t2,,man,4,,TRUE,FALSE
,man-f5,stairwell,regular,Лестничная клетка на крышу,man-f5-sw2,,man,5,3.8,,
,man-f5,room,corridor,Коридор на 5 эт,man-f5-cor,,man,5,4.03,TRUE,FALSE
,man-f5,room,office,Кабинет на 5 эт,man-f5-a,,man,5,40.53,FALSE,TRUE
,man-f5-a,room,office,Кладовка на 5 эт,man-f5-a1,,man,5,40.53,FALSE,TRUE
,man-f5-a,room,restroom,Туалет 5эт,man-f5-a-rr,,man,5,8.57,FALSE,TRUE
,man-f6,room,tech_combined,Тех помещение на крыше,man-roof-a,,man,6,25.16,FALSE,FALSE
,man-f6,roof,non_operated,Кровля,man-roof-roof,,man,6,,FALSE,FALSE
,tok,floor,ground,1 Этаж,tok-f1,,tok,1,566.09,,
,tok,floor,standard,2 Этаж,tok-f2,,tok,2,658.72,,
,tok,floor,standard,3 Этаж,tok-f3,,tok,3,641.73,,
,tok,floor,standard,4 Этаж,tok-f4,,tok,4,659.16,,
,tok,floor,standard,5 Этаж,tok-f5,,tok,5,657.63,,
,tok,floor,standard,6 Этаж,tok-f6,,tok,6,657.95,,
,tok,floor,technical,7 Этаж,tok-f7,,tok,7,120.23,,
,tok,roof,operated,Крыша,tok-roof,,tok,,,,
,tok-f1,stairwell,regular,Лестничная клетка 1,tok-f1-sw1,,tok,1,5.59,,
,tok-f1,stairwell,regular,Лестничная клетка 2,tok-f1-sw2,,tok,1,19.59,,
,tok-f1,shaft,elevator,Лифтовая шахта,tok-f1-sl1,,tok,1,5.37,,
